Location,Area (sqm),Property Type,Bedrooms,Bathrooms,Building Age (years),Furnishing Status,Floor Level,Amenities,Nearby Facility,Price 2023 (EGP),Price 2024 (EGP),Price 2025 (EGP)
6th of October,373,Villa,5,3,8,Unfurnished,10,Gym,Metro Station,"3,668,952","4,239,837","5,194,300"
6th of October,124,Villa,1,1,12,Unfurnished,13,None,Mall,"1,070,303","1,202,689","1,473,759"
Sheikh Zayed,72,Apartment,4,1,14,Semi-Furnished,5,Garden,Mall,"758,340","888,664","1,073,318"
Maadi,272,Villa,5,2,26,Unfurnished,11,Gym,School,"3,642,037","4,874,405","6,046,388"
Sheikh Zayed,301,Villa,1,2,14,Furnished,12,Swimming Pool,Hospital,"3,242,256","3,600,204","4,434,518"
Maadi,272,Apartment,2,1,27,Semi-Furnished,16,Garden,Hospital,"3,370,837","4,297,285","5,267,203"
Sheikh Zayed,240,Apartment,5,3,4,Furnished,15,Swimming Pool,School,"2,822,925","3,948,232","4,562,421"
Nasr City,397,Villa,5,2,22,Semi-Furnished,2,Gym,Hospital,"3,746,700","5,083,181","5,849,155"
Nasr City,232,Apartment,4,3,18,Semi-Furnished,1,Swimming Pool,Metro Station,"3,154,720","3,963,697","4,642,459"
Nasr City,219,Apartment,3,1,25,Semi-Furnished,10,None,Metro Station,"2,373,479","2,656,142","3,230,804"
Nasr City,223,Apartment,3,2,19,Semi-Furnished,8,None,Hospital,"2,402,663","3,242,182","3,861,827"
New Cairo,247,Villa,4,2,25,Furnished,2,Swimming Pool,School,"4,034,315","5,162,687","6,144,840"
Nasr City,250,Apartment,4,1,24,Unfurnished,17,None,Mall,"2,917,708","3,310,081","4,099,398"
6th of October,367,Villa,4,2,25,Furnished,19,Gym,Hospital,"2,880,984","3,250,202","4,028,809"
6th of October,315,Villa,3,1,25,Unfurnished,14,None,Mall,"3,980,880","5,465,303","6,781,991"
New Cairo,242,Villa,4,2,13,Furnished,13,Swimming Pool,School,"3,430,082","4,461,714","5,271,015"
Nasr City,176,Villa,1,1,27,Semi-Furnished,1,Swimming Pool,Mall,"1,367,393","1,844,321","2,248,422"
Nasr City,341,Apartment,5,2,16,Semi-Furnished,16,Swimming Pool,School,"2,415,950","3,294,616","3,878,301"
Nasr City,255,Villa,5,3,17,Unfurnished,7,Garden,School,"3,009,535","3,826,719","4,473,668"
Sheikh Zayed,93,Apartment,2,3,20,Unfurnished,9,Swimming Pool,Metro Station,"1,260,512","1,582,237","1,848,786"
Maadi,111,Villa,2,3,2,Furnished,17,Gym,Metro Station,"1,080,905","1,328,571","1,573,308"
Sheikh Zayed,171,Apartment,5,2,1,Unfurnished,18,None,School,"2,373,999","2,837,128","3,384,682"
Maadi,311,Villa,1,2,0,Furnished,7,None,Hospital,"4,424,351","5,443,628","6,712,510"
Nasr City,141,Apartment,3,3,9,Unfurnished,7,Garden,Metro Station,"1,326,309","1,766,861","2,053,073"
Nasr City,291,Villa,3,3,18,Unfurnished,2,Garden,School,"2,535,211","3,246,534","3,972,110"
Sheikh Zayed,286,Villa,1,1,16,Unfurnished,2,Gym,Mall,"3,192,236","4,366,203","5,253,178"
Sheikh Zayed,292,Apartment,3,1,11,Semi-Furnished,11,Swimming Pool,Mall,"2,883,382","3,555,250","4,190,909"
Maadi,280,Villa,4,1,0,Semi-Furnished,16,Garden,Hospital,"3,012,311","3,862,165","4,631,825"
6th of October,101,Villa,5,3,11,Furnished,3,None,Mall,"847,351","1,092,568","1,289,224"
Maadi,80,Villa,5,3,16,Unfurnished,16,Garden,Mall,"1,050,956","1,342,606","1,624,027"
Sheikh Zayed,101,Apartment,1,3,23,Furnished,13,Garden,School,"1,443,422","1,892,023","2,257,911"
Sheikh Zayed,172,Villa,3,1,2,Unfurnished,18,Swimming Pool,Mall,"1,610,382","1,886,127","2,200,056"
New Cairo,164,Villa,2,2,10,Semi-Furnished,8,Garden,Mall,"2,426,556","3,042,196","3,533,992"
Sheikh Zayed,251,Apartment,2,3,16,Semi-Furnished,11,Gym,Mall,"2,500,036","2,828,210","3,407,058"
New Cairo,76,Apartment,3,2,22,Unfurnished,4,None,Mall,"1,315,320","1,598,579","1,982,624"
6th of October,179,Apartment,2,2,25,Unfurnished,10,Swimming Pool,School,"1,378,852","1,718,464","2,035,341"
Maadi,188,Apartment,1,2,2,Semi-Furnished,19,None,Mall,"1,952,838","2,530,229","3,095,229"
Maadi,189,Apartment,1,1,7,Semi-Furnished,2,Gym,Hospital,"2,065,571","2,861,145","3,478,770"
New Cairo,119,Villa,3,2,19,Furnished,14,Gym,Metro Station,"1,479,944","1,894,618","2,355,305"
Maadi,107,Villa,2,3,3,Semi-Furnished,13,Garden,Hospital,"964,756","1,276,448","1,572,709"
Sheikh Zayed,88,Villa,1,1,20,Unfurnished,10,Garden,Metro Station,"1,225,230","1,533,841","1,850,825"
Nasr City,156,Apartment,1,3,21,Furnished,19,Garden,Hospital,"1,385,847","1,788,064","2,173,755"
New Cairo,69,Villa,4,3,6,Unfurnished,7,None,Metro Station,"1,063,540","1,192,526","1,478,540"
Maadi,301,Apartment,4,1,13,Furnished,3,Gym,Metro Station,"3,195,113","3,758,468","4,472,396"
New Cairo,373,Apartment,1,3,13,Unfurnished,11,Swimming Pool,Metro Station,"4,769,975","5,764,781","6,817,889"
New Cairo,291,Villa,3,3,3,Semi-Furnished,7,Garden,Metro Station,"4,181,483","5,192,349","5,976,815"
Nasr City,336,Apartment,5,1,15,Unfurnished,5,None,School,"3,338,129","3,717,656","4,582,588"
Sheikh Zayed,343,Apartment,5,3,23,Furnished,14,Garden,Hospital,"2,677,503","3,057,727","3,761,305"
New Cairo,262,Villa,1,2,28,Unfurnished,11,Gym,Metro Station,"3,659,736","4,329,630","5,024,300"
Maadi,306,Apartment,1,3,21,Furnished,15,Swimming Pool,Hospital,"3,155,218","4,390,359","5,302,174"
6th of October,349,Apartment,1,2,29,Unfurnished,15,Gym,Mall,"3,333,756","3,998,521","4,783,823"
New Cairo,323,Villa,3,3,0,Semi-Furnished,19,None,Metro Station,"4,932,785","6,139,405","7,133,196"
New Cairo,273,Apartment,4,1,16,Semi-Furnished,19,Garden,Hospital,"3,935,728","4,560,837","5,692,184"
Nasr City,259,Apartment,1,1,24,Unfurnished,3,Gym,School,"2,220,250","2,849,100","3,337,635"
Sheikh Zayed,138,Villa,1,3,9,Unfurnished,10,None,Hospital,"1,703,543","2,017,344","2,333,509"
6th of October,232,Villa,2,1,21,Unfurnished,12,Garden,Metro Station,"2,401,792","2,791,117","3,375,813"
Maadi,128,Villa,3,3,15,Furnished,8,Swimming Pool,Mall,"1,883,038","2,363,159","2,892,239"
6th of October,146,Villa,1,1,15,Unfurnished,3,Gym,Hospital,"987,503","1,087,885","1,254,597"
Maadi,160,Apartment,2,2,25,Unfurnished,11,Garden,Mall,"1,884,480","2,077,260","2,525,682"
Sheikh Zayed,67,Apartment,5,3,7,Furnished,8,Garden,School,"773,429","901,602","1,084,834"
Maadi,392,Villa,1,2,28,Semi-Furnished,12,Garden,Hospital,"5,359,737","5,954,756","6,909,461"
Nasr City,259,Apartment,1,2,6,Unfurnished,15,Garden,Hospital,"3,320,610","3,760,284","4,389,201"
Nasr City,146,Apartment,2,3,27,Unfurnished,5,Gym,School,"1,683,796","2,023,348","2,441,771"
Nasr City,102,Villa,3,2,5,Semi-Furnished,9,Garden,School,"1,018,554","1,365,652","1,610,972"
Nasr City,168,Villa,1,3,15,Semi-Furnished,12,None,School,"1,405,535","1,787,299","2,223,099"
6th of October,211,Apartment,5,2,19,Furnished,6,Gym,Metro Station,"1,804,160","2,262,056","2,786,569"
Sheikh Zayed,76,Villa,1,3,15,Unfurnished,18,Garden,Metro Station,"786,778","934,730","1,166,876"
Maadi,192,Villa,5,3,6,Unfurnished,18,Gym,Hospital,"2,317,857","3,197,544","3,760,207"
Maadi,207,Villa,4,1,8,Furnished,16,None,Hospital,"2,192,258","2,672,592","3,332,649"
Nasr City,336,Apartment,4,3,13,Semi-Furnished,12,None,Hospital,"3,564,479","4,014,059","4,789,267"
Nasr City,291,Villa,5,3,10,Furnished,12,Gym,Mall,"3,625,187","4,658,800","5,519,522"
New Cairo,373,Apartment,3,2,25,Semi-Furnished,1,Garden,School,"4,458,328","5,056,419","5,840,341"
Sheikh Zayed,287,Apartment,1,3,25,Furnished,9,Garden,Hospital,"2,223,690","2,676,360","3,091,936"
6th of October,198,Apartment,1,1,13,Semi-Furnished,12,None,School,"1,951,767","2,444,048","2,979,787"
Maadi,270,Villa,4,2,6,Furnished,8,Garden,Metro Station,"4,235,221","5,769,501","6,899,128"
New Cairo,87,Villa,5,2,0,Semi-Furnished,0,None,School,"1,226,585","1,530,856","1,795,162"
New Cairo,110,Villa,1,1,25,Semi-Furnished,13,Garden,Mall,"1,559,289","2,043,725","2,475,763"
Maadi,320,Villa,1,2,24,Semi-Furnished,15,None,Mall,"4,411,180","6,166,147","7,246,985"
6th of October,320,Villa,3,2,12,Semi-Furnished,19,Swimming Pool,School,"2,640,185","3,008,350","3,633,375"
New Cairo,67,Apartment,2,2,19,Semi-Furnished,14,Garden,Mall,"1,103,629","1,304,953","1,547,571"
New Cairo,379,Apartment,4,2,2,Unfurnished,0,Garden,Mall,"5,938,792","7,235,662","8,916,907"
Sheikh Zayed,197,Apartment,4,1,19,Semi-Furnished,16,Garden,Metro Station,"2,039,580","2,501,644","3,082,199"
6th of October,97,Villa,2,1,3,Unfurnished,12,Gym,Hospital,"807,432","987,736","1,183,047"
New Cairo,170,Apartment,1,2,28,Semi-Furnished,14,Garden,Mall,"3,424,345","4,699,172","5,568,904"
6th of October,279,Apartment,3,2,25,Unfurnished,15,Gym,Hospital,"2,400,024","3,154,135","3,741,611"
Maadi,396,Villa,3,1,10,Unfurnished,15,Gym,School,"5,113,557","6,557,481","8,069,448"
Nasr City,282,Villa,4,1,1,Furnished,1,None,School,"2,786,147","3,323,349","3,930,917"
New Cairo,195,Apartment,3,1,13,Semi-Furnished,16,Gym,Mall,"2,847,635","3,836,155","4,491,777"
Sheikh Zayed,315,Apartment,2,2,11,Furnished,10,Gym,School,"3,827,392","5,306,749","6,147,704"
Maadi,388,Villa,1,2,29,Furnished,7,Swimming Pool,Metro Station,"3,517,061","4,735,228","5,666,502"
6th of October,108,Villa,2,3,16,Semi-Furnished,19,Garden,Mall,"820,944","903,424","1,082,495"
Maadi,351,Villa,5,1,11,Furnished,2,Gym,Mall,"5,015,811","6,475,014","7,990,755"
New Cairo,383,Villa,4,2,25,Semi-Furnished,11,Garden,Mall,"5,868,791","6,545,701","7,672,373"
6th of October,137,Apartment,3,1,11,Furnished,19,Gym,School,"1,279,930","1,506,839","1,790,274"
Nasr City,164,Apartment,5,2,0,Semi-Furnished,15,None,School,"1,319,230","1,474,711","1,815,134"
Maadi,228,Villa,3,1,12,Semi-Furnished,13,Swimming Pool,Mall,"2,019,885","2,587,753","3,189,049"
New Cairo,276,Apartment,1,2,13,Semi-Furnished,15,Gym,Hospital,"4,021,081","5,251,440","6,241,132"
Sheikh Zayed,178,Apartment,1,3,23,Unfurnished,16,Garden,School,"1,845,977","2,093,977","2,504,213"
6th of October,249,Villa,1,3,29,Furnished,10,None,School,"1,837,304","2,232,603","2,635,205"
Maadi,314,Apartment,3,1,1,Unfurnished,16,Garden,Mall,"5,265,669","6,512,953","8,097,265"
Maadi,325,Apartment,5,2,11,Furnished,18,None,Hospital,"4,108,779","4,974,565","5,779,770"
Nasr City,208,Apartment,1,2,25,Furnished,0,Swimming Pool,Mall,"2,068,674","2,350,650","2,922,739"
Nasr City,223,Villa,5,1,20,Furnished,11,None,School,"2,651,665","3,250,104","3,959,883"
Sheikh Zayed,199,Villa,3,2,27,Unfurnished,14,Garden,Mall,"1,890,003","2,504,922","3,013,815"
Sheikh Zayed,317,Apartment,5,1,15,Furnished,17,Garden,Mall,"4,146,016","4,648,937","5,361,461"
New Cairo,328,Villa,3,2,3,Unfurnished,13,Gym,Mall,"4,826,811","5,425,597","6,497,476"
New Cairo,240,Villa,3,1,7,Semi-Furnished,0,None,Hospital,"3,555,664","4,289,664","5,108,024"
Sheikh Zayed,219,Villa,4,2,1,Furnished,12,Garden,Mall,"2,172,295","3,003,236","3,502,139"
Sheikh Zayed,347,Apartment,3,1,9,Furnished,14,Gym,School,"2,959,324","3,848,814","4,678,776"
6th of October,347,Apartment,3,2,8,Semi-Furnished,6,Swimming Pool,Mall,"2,129,296","2,775,753","3,461,683"
Nasr City,285,Villa,2,3,22,Semi-Furnished,14,Garden,Hospital,"3,968,505","4,796,240","5,785,315"
New Cairo,70,Apartment,1,2,14,Furnished,19,Gym,Metro Station,"1,062,508","1,357,990","1,658,752"
Nasr City,69,Apartment,4,1,12,Semi-Furnished,9,Garden,Hospital,"783,919","864,693","1,000,316"
Nasr City,330,Apartment,4,3,22,Unfurnished,13,None,Mall,"3,097,986","3,998,970","4,765,839"
Sheikh Zayed,332,Apartment,4,2,16,Unfurnished,5,Gym,Metro Station,"4,739,563","6,512,094","7,564,682"
6th of October,242,Apartment,2,3,29,Furnished,13,None,Mall,"2,209,711","2,836,765","3,436,116"
Maadi,212,Villa,3,2,15,Unfurnished,11,Swimming Pool,Hospital,"2,929,373","3,990,128","4,963,113"
6th of October,374,Apartment,1,3,27,Unfurnished,10,None,Metro Station,"2,774,198","3,654,151","4,444,098"
6th of October,393,Apartment,5,1,1,Furnished,19,Gym,Metro Station,"2,671,041","3,034,750","3,513,271"
Nasr City,183,Apartment,3,2,19,Semi-Furnished,18,Garden,Mall,"1,431,315","1,961,956","2,325,833"
6th of October,173,Villa,2,2,19,Furnished,1,Gym,Mall,"1,457,384","1,632,173","1,966,877"
New Cairo,337,Villa,3,1,26,Unfurnished,19,None,Hospital,"5,309,693","6,691,223","7,964,702"
Nasr City,272,Villa,3,3,13,Furnished,0,None,Mall,"2,396,283","2,738,091","3,377,065"
New Cairo,231,Apartment,2,1,2,Furnished,7,Garden,Metro Station,"4,582,905","5,057,291","6,227,888"
Maadi,347,Villa,4,1,22,Unfurnished,13,Swimming Pool,School,"4,459,490","5,470,056","6,625,240"
Nasr City,233,Villa,4,3,11,Unfurnished,8,Gym,School,"2,488,012","2,957,033","3,511,020"
Maadi,172,Villa,1,1,7,Furnished,1,Garden,Hospital,"1,882,172","2,344,810","2,756,403"
Nasr City,181,Villa,1,2,1,Unfurnished,4,Garden,Mall,"1,414,511","1,800,898","2,090,100"
Sheikh Zayed,91,Apartment,4,2,3,Unfurnished,7,Garden,Hospital,"938,021","1,044,132","1,237,807"
6th of October,281,Villa,5,2,13,Unfurnished,15,Gym,School,"2,414,353","2,744,880","3,270,023"
Sheikh Zayed,178,Villa,3,1,15,Unfurnished,15,Gym,School,"1,507,423","1,910,798","2,326,554"
Maadi,98,Apartment,5,2,18,Unfurnished,12,Gym,Mall,"1,460,441","1,756,838","2,135,992"
6th of October,327,Apartment,3,2,1,Unfurnished,19,Swimming Pool,Metro Station,"3,578,843","4,719,606","5,460,635"
Nasr City,292,Villa,4,2,11,Semi-Furnished,14,Garden,Mall,"2,408,176","3,120,244","3,711,611"
6th of October,77,Apartment,1,2,28,Furnished,0,None,School,"569,432","770,829","900,466"
New Cairo,208,Villa,1,2,13,Unfurnished,2,None,Metro Station,"3,294,832","4,308,810","5,022,699"
6th of October,208,Apartment,5,2,5,Furnished,5,Garden,Hospital,"1,744,770","2,144,286","2,643,327"
New Cairo,185,Apartment,1,1,12,Semi-Furnished,13,None,School,"2,498,683","3,253,010","3,754,597"
6th of October,361,Villa,4,2,3,Unfurnished,3,Swimming Pool,Hospital,"3,064,869","3,624,558","4,320,177"
New Cairo,297,Apartment,5,2,21,Furnished,17,Swimming Pool,Metro Station,"4,984,234","5,940,679","6,931,705"
Maadi,194,Villa,3,3,17,Unfurnished,14,Gym,Hospital,"2,795,169","3,736,290","4,625,277"
Sheikh Zayed,210,Apartment,1,1,11,Unfurnished,8,Gym,School,"1,919,989","2,369,124","2,856,463"
Nasr City,295,Villa,2,1,19,Unfurnished,17,Gym,Mall,"3,108,965","4,164,502","4,885,536"
6th of October,283,Apartment,1,1,26,Unfurnished,2,Gym,Hospital,"2,015,917","2,714,889","3,258,526"
Sheikh Zayed,262,Apartment,3,1,21,Unfurnished,9,Gym,School,"3,343,982","4,538,682","5,551,482"
Nasr City,315,Apartment,5,2,29,Unfurnished,16,None,School,"2,412,446","3,317,091","4,132,472"
Nasr City,145,Apartment,3,2,20,Unfurnished,6,None,Metro Station,"1,112,484","1,367,572","1,602,855"
New Cairo,209,Apartment,2,3,18,Semi-Furnished,14,Gym,School,"3,062,218","3,661,372","4,535,042"
Maadi,294,Villa,4,3,7,Semi-Furnished,0,Swimming Pool,Mall,"3,138,928","4,001,064","4,975,045"
Maadi,81,Apartment,1,1,6,Unfurnished,10,None,Mall,"914,003","1,107,179","1,374,720"
Sheikh Zayed,344,Villa,5,3,15,Unfurnished,16,Swimming Pool,Hospital,"2,981,663","3,817,489","4,632,682"
Maadi,328,Villa,4,3,18,Semi-Furnished,4,Swimming Pool,Hospital,"3,953,914","5,186,253","6,290,832"
6th of October,317,Villa,3,1,5,Semi-Furnished,6,Garden,Hospital,"2,868,886","3,748,261","4,461,634"
Maadi,88,Apartment,5,1,19,Semi-Furnished,18,Garden,Hospital,"1,264,081","1,532,529","1,877,715"
Sheikh Zayed,272,Villa,4,3,26,Unfurnished,14,Gym,Mall,"3,819,701","4,392,878","5,285,201"
Maadi,342,Apartment,5,2,20,Furnished,2,Swimming Pool,Metro Station,"5,517,551","6,781,947","8,258,674"
6th of October,109,Villa,2,3,10,Furnished,14,None,Hospital,"968,226","1,106,467","1,319,845"
New Cairo,154,Villa,2,3,4,Furnished,4,Garden,Metro Station,"2,189,436","2,993,023","3,660,915"
Sheikh Zayed,147,Villa,1,2,15,Furnished,11,Garden,School,"1,632,814","1,965,522","2,422,402"
New Cairo,103,Villa,1,2,6,Unfurnished,19,Swimming Pool,School,"1,554,761","1,782,281","2,075,722"
New Cairo,337,Villa,2,1,26,Furnished,4,Garden,Hospital,"5,655,653","6,264,395","7,725,835"
New Cairo,230,Apartment,5,1,4,Semi-Furnished,2,Garden,School,"2,748,573","3,555,958","4,281,479"
Nasr City,248,Villa,2,3,10,Semi-Furnished,8,None,Metro Station,"1,995,383","2,576,180","3,180,209"
Nasr City,243,Villa,1,2,14,Furnished,8,Swimming Pool,Metro Station,"2,515,139","3,023,653","3,607,611"
New Cairo,62,Apartment,2,1,2,Semi-Furnished,6,Garden,School,"706,687","792,559","941,484"
Sheikh Zayed,250,Apartment,2,3,25,Unfurnished,1,Swimming Pool,Hospital,"2,844,445","3,478,440","4,318,505"
6th of October,177,Apartment,5,2,4,Furnished,15,Garden,Metro Station,"1,916,022","2,286,515","2,686,922"
6th of October,78,Villa,4,3,22,Furnished,8,None,Metro Station,"715,434","932,308","1,150,861"
Maadi,82,Villa,1,1,20,Unfurnished,12,Swimming Pool,Mall,"1,174,908","1,505,919","1,804,697"
Sheikh Zayed,89,Villa,5,1,4,Semi-Furnished,18,Garden,Hospital,"1,045,978","1,264,983","1,519,762"
Nasr City,354,Villa,2,2,8,Unfurnished,19,None,Mall,"2,677,134","3,119,846","3,684,061"
New Cairo,167,Villa,2,3,14,Unfurnished,16,Garden,School,"1,926,726","2,690,501","3,248,253"
Maadi,340,Villa,4,2,2,Semi-Furnished,5,Swimming Pool,School,"4,278,597","5,289,203","6,254,595"
6th of October,187,Apartment,1,1,28,Unfurnished,3,Garden,Mall,"1,723,935","2,252,291","2,598,979"
Nasr City,288,Apartment,1,1,5,Semi-Furnished,0,Swimming Pool,Hospital,"2,246,846","2,566,271","3,021,014"
Nasr City,170,Villa,3,3,16,Semi-Furnished,17,Swimming Pool,Metro Station,"1,615,943","2,012,944","2,316,169"
New Cairo,195,Villa,1,3,25,Unfurnished,18,Garden,School,"3,323,994","3,683,853","4,596,843"
6th of October,245,Villa,4,3,20,Semi-Furnished,8,None,Hospital,"2,131,277","2,667,584","3,325,343"
Sheikh Zayed,203,Villa,3,2,7,Unfurnished,12,Gym,Hospital,"2,530,786","3,515,781","4,182,076"
Nasr City,131,Villa,3,3,20,Semi-Furnished,7,None,School,"1,108,345","1,346,930","1,647,076"
New Cairo,188,Apartment,2,3,24,Furnished,12,None,School,"3,383,352","3,761,269","4,455,526"
Sheikh Zayed,320,Apartment,2,1,10,Semi-Furnished,14,Garden,Hospital,"3,144,797","3,488,482","4,245,863"
6th of October,62,Villa,1,1,5,Semi-Furnished,10,None,Metro Station,"481,852","586,123","721,250"
Nasr City,163,Apartment,3,3,7,Unfurnished,11,None,Mall,"1,972,686","2,264,659","2,818,766"
Sheikh Zayed,283,Villa,2,3,9,Semi-Furnished,13,Gym,School,"2,768,169","3,064,379","3,646,676"
Sheikh Zayed,379,Villa,4,1,23,Furnished,3,None,Mall,"4,979,365","6,606,941","8,115,503"
Sheikh Zayed,69,Villa,2,3,28,Furnished,0,Gym,Hospital,"900,075","1,113,894","1,310,600"
Nasr City,361,Apartment,2,2,2,Semi-Furnished,3,Garden,Mall,"3,763,798","4,466,776","5,579,152"
Nasr City,290,Apartment,3,2,22,Semi-Furnished,18,Gym,Metro Station,"2,605,448","3,569,529","4,114,157"
Maadi,278,Villa,3,2,13,Furnished,8,Swimming Pool,Hospital,"2,798,868","3,176,272","3,844,410"
6th of October,125,Apartment,5,3,22,Unfurnished,9,Swimming Pool,Metro Station,"1,174,742","1,629,104","1,980,911"
New Cairo,171,Apartment,4,1,13,Furnished,3,Gym,Hospital,"3,222,429","3,848,192","4,690,195"
Sheikh Zayed,72,Villa,3,3,9,Furnished,19,Swimming Pool,Metro Station,"829,215","1,133,140","1,316,753"
Maadi,145,Apartment,1,3,11,Semi-Furnished,8,Garden,Hospital,"1,758,597","2,252,557","2,801,850"
New Cairo,293,Apartment,4,1,5,Semi-Furnished,12,Swimming Pool,Metro Station,"4,756,817","6,412,248","7,490,264"
Maadi,149,Villa,4,1,11,Furnished,11,Gym,Hospital,"2,379,417","3,319,772","4,024,478"
Nasr City,373,Villa,3,1,22,Unfurnished,10,Garden,Metro Station,"3,949,055","4,685,640","5,492,824"
Sheikh Zayed,113,Apartment,4,2,13,Furnished,11,Swimming Pool,Hospital,"899,540","1,248,868","1,474,566"
New Cairo,71,Villa,3,3,1,Furnished,17,Garden,Metro Station,"1,093,448","1,330,556","1,602,849"
New Cairo,268,Apartment,2,1,8,Unfurnished,11,Gym,School,"3,475,490","4,224,992","5,035,004"
New Cairo,73,Villa,5,3,9,Furnished,15,Swimming Pool,Mall,"1,122,734","1,349,657","1,573,730"
New Cairo,180,Villa,2,2,25,Furnished,4,Garden,Hospital,"1,902,687","2,401,994","2,803,352"
New Cairo,79,Villa,3,2,16,Semi-Furnished,19,Garden,Metro Station,"1,385,906","1,588,586","1,893,300"
Maadi,134,Villa,3,1,16,Unfurnished,11,Swimming Pool,School,"1,216,300","1,539,974","1,887,590"
Sheikh Zayed,302,Apartment,2,1,2,Semi-Furnished,10,Garden,Hospital,"2,839,215","3,584,541","4,444,101"
Nasr City,282,Villa,1,3,29,Semi-Furnished,8,Garden,Hospital,"2,903,959","3,858,114","4,469,289"
Nasr City,129,Villa,1,1,18,Unfurnished,17,Gym,Hospital,"1,246,847","1,683,362","2,002,040"
Nasr City,371,Villa,1,3,0,Unfurnished,2,Gym,Mall,"3,816,125","4,701,971","5,454,402"
Nasr City,270,Apartment,3,1,11,Furnished,19,Gym,Metro Station,"2,146,059","2,555,313","2,942,850"
Maadi,160,Apartment,4,3,6,Semi-Furnished,16,Gym,Metro Station,"1,686,522","1,986,386","2,415,787"
6th of October,245,Villa,3,3,3,Unfurnished,13,Gym,Hospital,"2,995,823","3,470,323","4,199,940"
Sheikh Zayed,191,Villa,4,3,9,Semi-Furnished,0,Gym,Hospital,"2,444,454","2,731,174","3,185,374"
New Cairo,170,Villa,2,3,12,Semi-Furnished,16,Swimming Pool,Hospital,"2,494,205","2,999,866","3,519,987"
6th of October,191,Villa,5,2,1,Unfurnished,7,Gym,School,"2,000,654","2,362,921","2,722,961"
Nasr City,79,Villa,4,3,9,Furnished,4,Garden,Hospital,"822,900","1,143,769","1,410,833"
6th of October,83,Villa,1,1,20,Semi-Furnished,4,Swimming Pool,Mall,"602,802","763,939","952,991"
Sheikh Zayed,286,Apartment,3,2,21,Unfurnished,8,Garden,Metro Station,"3,994,973","4,810,679","5,597,446"
New Cairo,213,Villa,2,2,24,Furnished,2,Gym,Mall,"3,464,116","4,413,770","5,178,004"
New Cairo,352,Villa,1,3,3,Semi-Furnished,18,Gym,Hospital,"5,620,493","6,417,249","7,937,116"
Sheikh Zayed,289,Villa,2,2,17,Unfurnished,8,Garden,School,"3,815,062","4,704,785","5,846,384"
Sheikh Zayed,369,Villa,5,3,4,Semi-Furnished,17,Garden,Hospital,"3,704,543","4,770,971","5,686,820"
Nasr City,261,Villa,3,1,18,Unfurnished,15,Garden,Hospital,"2,505,792","3,123,894","3,608,292"
New Cairo,97,Villa,3,3,1,Unfurnished,0,None,Hospital,"1,821,401","2,223,082","2,565,301"
6th of October,319,Apartment,5,2,11,Semi-Furnished,1,None,Hospital,"1,913,685","2,675,628","3,230,540"
Maadi,247,Apartment,3,1,16,Semi-Furnished,13,None,Hospital,"2,916,466","3,978,335","4,731,392"
Maadi,116,Apartment,4,3,9,Unfurnished,13,None,Metro Station,"1,369,031","1,761,973","2,031,318"
Sheikh Zayed,79,Apartment,2,1,1,Furnished,0,Swimming Pool,Mall,"863,646","1,097,533","1,326,177"
Nasr City,332,Apartment,1,1,5,Semi-Furnished,15,Gym,School,"2,647,392","3,405,070","3,919,680"
Maadi,178,Apartment,5,2,7,Unfurnished,14,Garden,Hospital,"1,854,677","2,152,155","2,644,433"
New Cairo,130,Villa,4,1,28,Unfurnished,14,Gym,School,"1,982,400","2,415,636","2,852,004"
Sheikh Zayed,63,Villa,1,2,18,Furnished,11,Garden,Metro Station,"654,038","727,184","839,189"
6th of October,280,Villa,1,1,10,Furnished,15,Gym,Mall,"2,930,065","3,641,086","4,401,473"
Sheikh Zayed,73,Villa,5,3,24,Furnished,13,Swimming Pool,Hospital,"932,892","1,178,157","1,401,734"
6th of October,62,Villa,4,1,11,Semi-Furnished,14,None,Metro Station,"654,006","764,092","953,113"
Sheikh Zayed,275,Villa,1,3,8,Unfurnished,14,Gym,Metro Station,"4,041,042","5,613,851","6,761,433"
Sheikh Zayed,288,Apartment,1,3,1,Unfurnished,18,Garden,Mall,"3,421,295","4,696,879","5,530,687"
Sheikh Zayed,395,Villa,4,1,7,Unfurnished,7,Gym,Hospital,"3,679,839","4,845,034","5,915,515"
6th of October,245,Apartment,3,3,25,Furnished,1,Swimming Pool,Mall,"1,714,618","2,160,446","2,543,167"
6th of October,114,Apartment,1,1,10,Unfurnished,1,Swimming Pool,Mall,"971,526","1,322,238","1,640,137"
Sheikh Zayed,313,Villa,2,1,27,Semi-Furnished,9,Gym,School,"3,036,758","3,459,462","4,108,015"
Maadi,83,Villa,4,3,20,Furnished,2,None,School,"843,275","1,127,588","1,358,729"
Nasr City,221,Villa,1,3,3,Furnished,16,Garden,Mall,"2,352,553","2,675,902","3,090,820"
Nasr City,217,Villa,5,2,9,Furnished,7,Swimming Pool,School,"2,198,978","2,942,811","3,509,632"
Nasr City,141,Villa,2,3,20,Furnished,3,Swimming Pool,Metro Station,"1,555,153","1,839,327","2,268,325"
6th of October,218,Villa,1,2,19,Semi-Furnished,13,Gym,Mall,"2,268,740","3,092,582","3,805,622"
6th of October,247,Villa,2,3,15,Unfurnished,9,Swimming Pool,Hospital,"1,663,389","2,300,821","2,697,556"
Maadi,119,Apartment,2,1,7,Semi-Furnished,0,Swimming Pool,Hospital,"1,175,464","1,345,482","1,577,723"
